19593472_0.java,1,12,netbeans-6.9.1-201007282301/maven/src/org/netbeans/modules/maven/customizer/MainClassChooser.java,38,88,
19593472_0.java,1,12,netbeans-6.9.1-201007282301/maven/src/org/netbeans/modules/maven/runjar/MainClassChooser.java,32,79,
19593472_0.java,1,12,netbeans-6.9.1-201007282301/profiler/src/org/netbeans/modules/profiler/utils/MainClassChooser.java,56,105,
19593472_0.java,1,12,netbeans-6.9.1-201007282301/projectui/src/org/netbeans/modules/project/ui/NoMainProjectWarning.java,16,48,
19593472_0.java,1,12,netbeans-6.9.1-201007282301/ruby.project/src/org/netbeans/modules/ruby/rubyproject/ui/customizer/MainClassChooser.java,31,81,
19655142_1.java,1,10,apache-jmeter-2.9/apache-jmeter-2.9/src/protocol/http/org/apache/jmeter/protocol/http/visualizers/RequestViewHTTP.java,163,188,
19796981_0.java,1,10,sunflow-src-v0.07.2/sunflow/src/org/sunflow/image/Bitmap.java,16,225,
2067401_0.java,1,12,lucene-4.3.0/lucene-4.3.0/queries/src/java/org/apache/lucene/queries/BoostingQuery.java,48,81,
2067401_0.java,1,12,lucene-4.3.0/lucene-4.3.0/queryparser/src/java/org/apache/lucene/queryparser/complexPhrase/ComplexPhraseQueryParser.java,246,280,
2067401_0.java,1,12,lucene-4.3.0/lucene-4.3.0/sandbox/src/java/org/apache/lucene/sandbox/queries/FuzzyLikeThisQuery.java,41,77,
21185724_0.java,1,10,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.beans/src/main/java/org/springframework/beans/factory/support/AbstractBeanFactory.java,98,191,
21677496_0.java,1,10,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web/src/main/java/org/springframework/web/context/ContextLoader.java,80,107,
21833777_0.java,1,10,ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/ui/ArgoToolbarManager.java,69,123,
21833777_0.java,1,10,netbeans-6.9.1-201007282301/lib.terminalemulator/src/org/netbeans/lib/terminalemulator/support/FontPanel.java,180,212,
21833777_0.java,1,10,netbeans-6.9.1-201007282301/subversion/src/org/netbeans/modules/subversion/ui/blame/AnnotationBar.java,245,269,
