tool,so,sostart,soend,q,qstart,qend,classification,rand,,Row Labels,Count of tool
scc,16688737_0.java,20,40,lucene-4.3.0/lucene-4.3.0/suggest/src/java/org/apache/lucene/search/spell/DirectSpellChecker.java,249,268,BP,3453,,,
scc,5961624_0.java,13,33,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/circle/identity/AbstractEntity.java,42,61,BP,3459,,,
scc,13066157_0.java,14,41,eclipse_SDK/eclipse_SDK-4.3/src/src/org/apache/lucene/index/Term.java,27,53,BP,3495,,,
ok,21998949_0.java,10,89,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/plot/SpiderWebPlot.java,502,578,QS,3496,,,
scc,16688737_0.java,20,40,nakedobjects-4.0.0/nakedobjects-4.0.0/core/runtime/src/main/java/org/nakedobjects/runtime/persistence/query/PersistenceQueryAbstract.java,32,51,BP,3508,,,
scc,12008316_0.java,11,31,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/texteditor/rulers/RulerColumnDescriptor.java,150,169,BP,3548,,,
scc,23197177_1.java,13,29,jboss-5/jboss-5.1.0.GA-src/testsuite/src/main/org/jboss/test/bootstrapdependencies/jbas5349/ejb3/SimpleEntity.java,24,39,BP,3774,,,
scc,20453802_0.java,45,68,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/ViewerCell.java,147,169,BP,3793,,,
scc,24330611_0.java,77,100,geotools-2/geotools-2.7-M3/modules/library/main/src/main/java/org/geotools/filter/capability/OperatorImpl.java,25,44,BP,3883,,,
scc,1516601_0.java,19,46,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/metagen/mappedsuperclass/idclass/ProductAttributeId.java,19,45,BP,3896,,,
simian,10930216_1.java,1,15,weka-3-7-9/main/java/weka/core/Instances.java,1078,1092,QS,3922,,,
scc,9591522_0.java,18,45,myfaces-core-2.0.2/myfaces-core-2.0.2-src/src/myfaces-impl-2.0.2/org/apache/myfaces/view/facelets/DefaultFaceletsStateManagementHelper.java,343,369,BP,3954,,,
scc,24330611_0.java,77,100,myfaces-core-2.0.2/myfaces-core-2.0.2-src/src/myfaces-core-project-2.0.2/myfaces-core-project-2.0.2/api/src/main/java/javax/faces/component/_ValueExpressionToValueBinding.java,23,45,BP,3957,,,
scc,25044969_0.java,31,51,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/circle/identity/AbstractEntity.java,42,61,BP,3961,,,
scc,17941176_0.java,72,99,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/e4/core/di/internal/extensions/EventObjectSupplier.java,83,109,BP,4106,,,
scc,698283_1.java,47,67,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/POIUtils.java,55,75,SQ,4226,,,
scc,9591522_0.java,18,45,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/SurfaceBoundaryImpl.java,67,93,BP,4270,,,
scc,1888284_0.java,4,39,marauroa-3.8.1/marauroa-3.8.1/src/marauroa/common/io/UnicodeSupportingInputStreamReader.java,28,63,EX,4292,,,
ok,6951800_0.java,1,16,netbeans-6.9.1-201007282301/javahelp/src/org/netbeans/modules/javahelp/BrowserDisplayer.java,248,263,UD,4320,,,
scc,13066157_0.java,14,41,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/pde/internal/ui/views/imagebrowser/ImageElement.java,46,72,BP,4357,,,
scc,4207100_3.java,26,46,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/databinding/swt/SWTObservables.java,143,162,BP,4366,,,
scc,9591522_0.java,18,45,myfaces-core-2.0.2/myfaces-core-2.0.2-src/src/myfaces-impl-2.0.2/org/apache/myfaces/application/jsp/JspStateManagerImpl.java,752,778,BP,4391,,,
scc,2265637_0.java,22,42,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/derivedidentities/bidirectional/Product.java,37,56,BP,4499,,,
scc,16688737_0.java,20,40,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/e4/core/internal/di/ConstructorRequestor.java,88,107,BP,4573,,,
scc,9684751_0.java,10,37,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/e4/core/internal/contexts/ContextObjectSupplier.java,89,115,BP,4857,,,
simian,21702608_0.java,15,35,hadoop-1/hadoop-1.0.0/src/examples/org/apache/hadoop/examples/DBCountPageView.java,289,309,QS,4931,,,
