sdnd,0.8,stackoverflow_formatted/13435398_0.java,95,114,geotools-16/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/SurfaceBoundaryImpl.java,67,93, stackoverflow_formatted/13435398_0.java,92,103,geotools-16/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/SurfaceBoundaryImpl.java,64,75,D,similar equals() methods
sdnd,0.8,stackoverflow_formatted/15095000_0.java,21,36,geotools-16/modules/unsupported/css/src/main/java/org/geotools/styling/css/Property.java,25,51, stackoverflow_formatted/15095000_0.java,18,29,geotools-16/modules/unsupported/css/src/main/java/org/geotools/styling/css/Property.java,22,33,D,similar equals() methods
sdnd,1,stackoverflow_formatted/24330611_0.java,78,100,jena-3.1.0/jena-tdb/src/main/java/org/apache/jena/tdb/sys/FileRef.java,114,132, stackoverflow_formatted/24330611_0.java,78,86,jena-3.1.0/jena-tdb/src/main/java/org/apache/jena/tdb/sys/FileRef.java,114,122,D,similar equals() methods
sdnd,1,stackoverflow_formatted/2265637_0.java,23,42,geotools-16/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/coordinate/PolygonImpl.java,51,77, stackoverflow_formatted/2265637_0.java,23,31,geotools-16/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/coordinate/PolygonImpl.java,51,59,D,similar equals() methods
sdnd,1,stackoverflow_formatted/3851674_0.java,23,41,cobertura-2.1.2/cobertura/src/main/java/net/sourceforge/cobertura/instrument/pass1/CodeFootstamp.java,90,109, stackoverflow_formatted/3851674_0.java,23,31,cobertura-2.1.2/cobertura/src/main/java/net/sourceforge/cobertura/instrument/pass1/CodeFootstamp.java,90,98,D,similar equals() methods
sdnd,0.9,stackoverflow_formatted/24772546_0.java,15,33,geotools-16/modules/library/render/src/main/java/org/geotools/renderer/label/LabelCacheItem.java,182,204, stackoverflow_formatted/24772546_0.java,14,23,geotools-16/modules/library/render/src/main/java/org/geotools/renderer/label/LabelCacheItem.java,181,190,D,similar equals() methods
sdnd,1,stackoverflow_formatted/9591522_0.java,19,45,geotools-16/modules/library/main/src/main/java/org/geotools/filter/capability/TemporalOperatorsImpl.java,36,55, stackoverflow_formatted/9591522_0.java,19,27,geotools-16/modules/library/main/src/main/java/org/geotools/filter/capability/TemporalOperatorsImpl.java,36,44,D,similar equals() methods
sdnd,1,stackoverflow_formatted/9684751_0.java,11,37,geotools-16/modules/library/main/src/main/java/org/geotools/filter/capability/OperatorImpl.java,25,44, stackoverflow_formatted/9684751_0.java,11,19,geotools-16/modules/library/main/src/main/java/org/geotools/filter/capability/OperatorImpl.java,25,33,D,similar equals() methods
sdnd,1,stackoverflow_formatted/9591522_0.java,19,45,geotools-16/modules/unsupported/css/src/main/java/org/geotools/styling/css/Property.java,25,51, stackoverflow_formatted/9591522_0.java,20,27,geotools-16/modules/unsupported/css/src/main/java/org/geotools/styling/css/Property.java,26,33,D,similar equals() methods
sdnd,0.9,stackoverflow_formatted/15095000_0.java,21,36,geotools-16/modules/library/main/src/main/java/org/geotools/filter/capability/ArithmeticOperatorsImpl.java,70,92, stackoverflow_formatted/15095000_0.java,20,29,geotools-16/modules/library/main/src/main/java/org/geotools/filter/capability/ArithmeticOperatorsImpl.java,69,78,D,similar equals() methods
